evse_id,metro_area,land_use,region,num_ports,charge_level,venue,pricing,geo_scope,is_chicago,is_midwest
18132,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Undesignated,Other US,False,False
18134,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18135,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18138,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18160,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18165,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18166,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18167,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18168,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18175,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18182,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18186,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18180,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18191,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18192,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18194,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18195,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18196,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Free,Other US,False,False
18197,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18198,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Paid,Other US,False,False
18203,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18200,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18201,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
18209,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18217,Undesignated,Metro Area,Pacific,1,DCFC,Undesignated,Free,Other US,False,False
18222,Undesignated,Metro Area,Pacific,1,DCFC,Corridor,Paid,Other US,False,False
