vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
581,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,62,57.096774193548384,60.0,28.422289612215174,42.25806451612903,26.202983870967742,0,deep chargers
583,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,124,51.653225806451616,45.0,22.03767814000049,19.112903225806452,11.263814516129033,0,deep chargers
586,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,5,73.0,70.0,9.082951062292473,24.0,14.306400000000002,1,top-up chargers
587,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,102,83.03921568627452,85.0,10.224143013908824,15.147058823529411,9.158941176470588,1,top-up chargers
588,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,70,60.357142857142854,60.0,21.990139894688973,20.857142857142858,12.425371428571427,0,deep chargers
589,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,195,73.74358974358974,80.0,15.57608189672559,19.94871794871795,12.10536923076923,1,top-up chargers
590,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,176,60.17045454545455,57.5,20.155805454173585,21.107954545454547,12.82102840909091,0,deep chargers
591,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,78,62.88461538461539,60.0,16.81679800986785,20.705128205128204,12.671384615384616,1,top-up chargers
592,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,79,75.44303797468355,75.0,12.094443347387047,22.72151898734177,8.99746835443038,1,top-up chargers
593,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,126,63.65079365079365,80.0,32.12732605376737,21.071428571428573,12.393039682539682,0,deep chargers
594,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,63,72.14285714285714,80.0,22.028469221014838,17.936507936507937,10.706507936507936,1,top-up chargers
595,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,54,54.44444444444444,60.0,17.3658379309501,23.51851851851852,14.43059259259259,0,deep chargers
596,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,39,53.97435897435897,60.0,21.403992715928855,18.58974358974359,11.05923076923077,0,deep chargers
597,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,New York,7,74.28571428571429,80.0,13.972762620115438,25.714285714285715,15.093,1,top-up chargers
