vehicle_id,date,trip_km,trips,charged_kwh,estimated_consumed_kwh,net_kwh
157,2023-05-05,118.8389,16.0,0.0,24.327511036125127,-24.327511036125127
157,2023-05-06,188.60005999999998,19.0,0.0,38.60831799237338,-38.60831799237338
157,2023-05-07,182.425584,22.0,38.44,37.34434101991496,1.095658980085041
157,2023-05-08,165.78895,13.0,27.9,33.93865569937619,-6.038655699376193
157,2023-05-09,118.546666,18.0,0.0,24.267687814434833,-24.267687814434833
157,2023-05-10,110.89270599999999,9.0,0.0,22.700845674613102,-22.700845674613102
157,2023-05-11,169.46509,18.0,0.0,34.69119831311917,-34.69119831311917
157,2023-05-12,184.86625,27.0,0.0,37.84396975301915,-37.84396975301915
157,2023-05-13,111.19169199999999,20.0,0.0,22.76205109821301,-22.76205109821301
157,2023-05-14,170.43847,21.0,28.52,34.89045893142129,-6.370458931421293
157,2023-05-15,139.375131,9.0,0.0,28.531482852533017,-28.531482852533017
157,2023-05-16,98.85229,14.0,19.22,20.23605213378146,-1.0160521337814608
157,2023-05-17,148.75381,24.0,9.3,30.451392216190662,-21.15139221619066
157,2023-05-18,153.14748,16.0,0.0,31.350820395129478,-31.350820395129478
157,2023-05-19,197.907164,20.0,0.0,40.513575237891175,-40.513575237891175
157,2023-05-20,194.284033,18.0,0.0,39.771884096456624,-39.771884096456624
157,2023-05-21,158.75789,24.0,34.72,32.499327417595914,2.2206725824040845
157,2023-05-22,79.71742,6.0,0.0,16.318952925527096,-16.318952925527096
157,2023-05-23,98.69021,9.0,0.0,20.202872737230877,-20.202872737230877
157,2023-05-25,148.230674,24.0,36.58,30.34430104643569,6.2356989535643095
157,2023-05-26,189.56814,26.0,38.44,38.80649364768366,-0.36649364768366155
157,2023-05-27,182.931511,27.0,0.0,37.44790933530641,-37.44790933530641
157,2023-05-28,158.683105,19.0,0.0,32.484018180361,-32.484018180361
157,2023-05-29,156.42663,12.0,0.0,32.022095186583364,-32.022095186583364
157,2023-05-30,154.8057,13.0,29.14,31.69027460877773,-2.5502746087777304
157,2023-05-31,151.38,5.0,0.0,30.98899956704936,-30.98899956704936
157,2023-06-01,90.54254999999999,10.0,16.74,18.53496527116888,-1.7949652711688806
157,2023-06-02,168.66201999999998,23.0,0.0,34.52680185465498,-34.52680185465498
157,2023-06-03,227.93923,20.0,38.44,46.66143942253643,-8.221439422536434
157,2023-06-04,170.08799,26.0,38.44,34.81871217116063,3.621287828839371
157,2023-06-05,193.45615,20.0,0.0,39.60240816880061,-39.60240816880061
157,2023-06-06,145.660149,18.0,29.14,29.818088877641333,-0.6780888776413327
157,2023-06-07,96.42517799999999,9.0,0.0,19.739198039996413,-19.739198039996413
157,2023-06-08,6.08572,2.0,0.0,1.2458077318350087,-1.2458077318350087
157,2023-06-09,182.76743,31.0,38.44,37.41432031404891,1.02567968595109
157,2023-06-10,81.826381,13.0,17.36,16.75067832859173,0.6093216714082708
157,2023-06-11,186.162154,28.0,38.44,38.10925425886495,0.33074574113504696
157,2023-06-12,1.09611,1.0,0.0,0.22438467641325452,-0.22438467641325452
157,2023-06-13,0.659929,1.0,0.0,0.13509406457447032,-0.13509406457447032
157,2023-06-14,6.231,3.0,0.0,1.275548000411445,-1.275548000411445
157,2023-06-15,236.97103,22.0,0.0,48.51033918663787,-48.51033918663787
