vehicle_id,ownership,vehicle_type,electrification_level,state,charge_start_dt,km_since_prior_charge,trips_since_prior_charge,avg_temp_c,charged_kwh,kwh_per_km_proxy,wh_per_km_proxy,temp_bin
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-08 13:20:00,40.48616200000001,8,0.0,7.8,0.19265841993123473,192.65841993123473,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-15 13:20:00,22.88615,3,5.0,9.6,0.4194676693109151,419.4676693109151,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-16 18:10:00,49.86447,4,16.25,15.0,0.3008153901966671,300.8153901966671,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2021-12-20 13:20:00,4.18751,2,0.0,1.2,0.28656647984124217,286.5664798412422,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-01-04 11:20:00,2.94023,1,0.0,4.2,1.4284596783244847,1428.4596783244847,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-01-13 15:10:00,23.214080000000003,4,5.0,9.0,0.387695743273048,387.69574327304804,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-01-25 13:10:00,19.44489,2,-5.0,4.2,0.21599505062769705,215.99505062769703,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-01-26 10:40:00,5.944240000000001,2,-10.0,3.6,0.6056283057211687,605.6283057211687,<-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-01-27 11:40:00,31.9572,2,-7.5,15.6,0.4881529045097818,488.1529045097818,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-02 11:50:00,40.3069,2,0.0,14.4,0.3572589308530301,357.25893085303017,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-08 12:30:00,93.350841,6,1.25,10.8,0.11569258385149418,115.69258385149416,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-09 10:00:00,22.3981,2,-2.5,10.2,0.4553957701769346,455.39577017693466,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-11 11:30:00,34.6016,2,5.0,15.0,0.433505965042079,433.505965042079,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-11 15:40:00,24.969900000000003,2,10.0,6.0,0.24028930832722595,240.28930832722597,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-02-23 12:30:00,4.2842199999999995,3,5.0,1.2,0.2800976607177036,280.0976607177036,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-01 14:30:00,31.86828,3,1.6666666666666667,4.8,0.15061998953191072,150.61998953191073,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-15 14:40:00,15.52538,3,10.0,5.4,0.3478175735473142,347.8175735473141,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-17 09:50:00,58.322379999999995,4,11.25,8.4,0.14402704416383558,144.02704416383557,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-17 13:50:00,69.7168,4,16.25,31.8,0.45613109035411836,456.1310903541183,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-18 12:00:00,51.485609999999994,4,13.125,13.2,0.256382317311575,256.38231731157504,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-21 12:20:00,74.94318,4,13.75,12.0,0.16012130790286722,160.12130790286722,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-21 16:00:00,35.161699999999996,2,12.5,12.0,0.341280427283095,341.280427283095,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-29 12:20:00,47.09246,5,-4.5,8.4,0.17837250379360092,178.3725037936009,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-03-30 11:10:00,25.6995,2,-1.25,12.0,0.4669351543804354,466.9351543804354,-10-0C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-04-14 13:30:00,18.8792,3,25.0,5.4,0.2860290690283487,286.02906902834866,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-06-17 12:30:00,132.12801,15,23.333333333333332,8.4,0.06357471061586413,63.57471061586412,>20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-06-19 16:40:00,23.47529,5,16.0,7.8,0.3322642659579498,332.2642659579498,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-10-13 12:20:00,73.82764,8,12.5,10.2,0.13815963777251988,138.1596377725199,10-20C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-10-18 17:00:00,87.82442,8,9.0625,6.0,0.0683181283747732,68.31812837477321,0-10C
5,Fleet,PASSENGER CAR,BEV (Battery Electric Vehicle),New York,2022-10-24 16:40:00,36.53044,5,10.5,4.2,0.11497260914459284,114.97260914459284,10-20C
