hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
9,0,5.848533,2.8433333333333333,2.0308333333333333,0,0.8125,Business Office,Metro Area,0,-0.03748001317697028,0.7814868653690263
19,0,6.707000000000001,1.1352777777777778,1.1250000000000002,0,0.010277777777777608,Municipal Building,Metro Area,0,-0.7742511649454104,0.30852093515380224
8,0,30.651476,7.328333333333333,6.990833333333334,0,0.33749999999999947,Business Office,Metro Area,0,0.9952997813396569,1.1494928982579544
10,0,14.143,2.4383333333333335,2.433333333333333,0,0.0050000000000003375,Multi-Unit Dwelling,Metro Area,5,0.08717380764423945,1.2477211498196696
17,0,14.0147,12.114444444444445,2.2377777777777776,0,9.876666666666667,Single Family Residential,Metro Area,1,1.9111088630605226,-0.07236577865331129
10,0,15.890999999999998,4.689444444444445,4.474722222222223,0,0.21472222222222204,Municipal Building,Metro Area,0,0.3812862895383255,0.6586293075799056
15,0,8.131,1.36,1.3519444444444444,0,0.008055555555555705,Medical or Educational Campus,Metro Area,0,-0.6015353981127722,0.6969275680256799
16,0,3.718219,5.480833333333333,1.9925,0,3.4883333333333333,Retail,Metro Area,0,0.2795947195698585,0.4697473359440721
18,0,14.7556,12.3375,2.849166666666666,0,9.488333333333333,Single Family Residential,Metro Area,1,2.0317254513838745,-0.042195728125445676
13,0,7.3119,70.0963888888889,2.8730555555555557,0,67.22333333333334,Single Family Residential,Undesignated,2,3.6114089389410418,-4.52396505085033
13,0,4.200552,2.950277777777778,2.9466666666666668,0,0.0036111111111112315,Medical or Educational Campus,Metro Area,0,-0.07993331256287188,0.7665193545137288
17,0,9.174398,14.841111111111111,3.0130555555555554,0,11.828055555555556,Municipal Building,Undesignated,2,1.737033119908296,-4.023202891988897
11,0,24.429199,3.713055555555555,3.674722222222222,0,0.03833333333333311,Single Family Residential,Metro Area,1,0.7780950899776257,0.19812395764144855
16,0,6.3448,15.10138888888889,1.8055555555555556,0,13.295833333333334,Single Family Residential,Undesignated,2,2.1125015572376227,-4.578236468812931
9,0,6.714844,1.185277777777778,1.1780555555555556,0,0.007222222222222463,Retail,Metro Area,0,-1.0448349765191025,0.5913174108824918
19,0,24.805,0.5319444444444444,0.525,1,0.00694444444444442,Undesignated,Metro Area,3,-2.927231026246708,0.38175087316756434
7,0,28.843786,7.081944444444445,5.820277777777778,0,1.2616666666666667,Business Office,Metro Area,0,1.0440426562258256,1.1097007511646322
18,1,13.1897,15.766666666666667,3.542222222222222,0,12.224444444444446,Single Family Residential,Metro Area,1,2.2746975194242354,-0.14524035325850448
14,0,42.713001,21.523611111111112,1.3630555555555557,1,20.160555555555558,Undesignated,Metro Area,3,-0.19366072035500792,0.46292861067058033
20,0,30.188,2.1505555555555556,2.056111111111111,1,0.09444444444444455,Corridor,Undesignated,2,-2.0780397995833475,-4.0643634342346076
4,0,41.056519,9.803055555555556,7.3825,0,2.4205555555555556,Hotel,Metro Area,0,1.4379531458859154,1.1011506331509802
12,0,1.4778,1.512222222222222,0.6805555555555556,0,0.8316666666666663,Single Family Residential,Undesignated,2,-0.03151091334423353,-4.672428604648674
9,0,7.1,2.446388888888889,2.3175,1,0.12888888888888905,Undesignated,Metro Area,3,-2.1839861961234295,0.5281286589584956
19,0,10.125598,12.55,1.6969444444444444,0,10.853055555555557,Multi-Unit Dwelling,Metro Area,5,1.567572486986231,0.9911728017745354
7,0,4.569,0.9819444444444444,0.9786111111111112,0,0.0033333333333331883,Municipal Building,Metro Area,0,-1.027156517876354,0.4062375857685958
11,0,15.880563,6.3069444444444445,6.3,0,0.006944444444444642,Medical or Educational Campus,Metro Area,0,0.7141171767586598,1.0267363067020263
10,0,46.879002,1.070277777777778,1.0627777777777778,1,0.007500000000000284,Corridor,Metro Area,3,-2.798959007342556,0.41294260910557146
3,1,32.696999999999996,9.950555555555557,5.416666666666667,0,4.53388888888889,Multi-use Parking Garage/Lot,Metro Area,4,1.371163934957318,0.8728659191984426
10,1,11.410478,1.923888888888889,1.9030555555555555,0,0.02083333333333348,Multi-Unit Dwelling,Metro Area,5,-0.16917450177611867,1.077778525910832
13,0,18.881,3.082222222222222,3.078333333333333,0,0.0038888888888890527,Retail,Non-Metro,0,-0.17656671313759623,-3.546915429993456
15,0,16.517,0.6447222222222222,0.61,1,0.03472222222222221,Undesignated,Metro Area,3,-2.9153783369384776,0.3889704880591583
8,0,0.925613,0.3222222222222222,0.3208333333333333,0,0.001388888888888884,Medical or Educational Campus,Metro Area,0,-1.497887164942934,0.5216556625863181
7,0,58.228,86.59388888888888,9.873333333333331,0,76.72055555555555,Multi-use Parking Garage/Lot,Metro Area,4,3.9171083422811495,0.9472033173214841
16,0,12.5823,14.419722222222225,6.376666666666667,0,8.043055555555558,Single Family Residential,Metro Area,1,2.444678723695317,0.09007196474235966
11,1,12.6259,2.4125,1.8975,0,0.5150000000000001,Single Family Residential,Metro Area,1,0.33101725822430594,-0.08838802903107368
17,0,46.009201,14.928888888888888,4.758611111111111,0,10.170277777777777,Single Family Residential,Non-Metro,1,2.5094890125169376,-4.155705985635385
9,0,11.2173,4.479444444444446,3.3402777777777777,0,1.139166666666668,Single Family Residential,Metro Area,1,0.9719607333492164,0.11269498019684902
8,0,15.493009,3.048888888888889,2.6241666666666665,0,0.42472222222222245,Multi-Unit Dwelling,Metro Area,5,0.30810355180757837,1.2844670324638239
8,0,2.776,3.7283333333333335,3.721944444444445,0,0.006388888888888555,Business Office,Metro Area,0,0.07207192138708991,0.8508857783183505
