id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622780,647,2022-08-01 20:30:00,2022-08-01 20:50:00,0.2369444444444444,2.3325,5.0,10.0,3.0,512
622781,158,2022-08-01 18:40:00,2022-08-02 00:50:00,6.139722222222222,29.76,50.0,100.0,1.0,512
622782,58,2022-08-01 18:40:00,2022-08-01 19:40:00,0.885,20.46,20.0,55.0,1.0,512
622783,1009,2022-08-01 18:40:00,2022-08-02 02:10:00,7.4447222222222225,58.7696,15.0,85.0,5.0,512
622784,647,2022-08-01 20:50:00,2022-08-01 20:50:00,0.0222222222222222,0.6675,,,3.0,576
622785,1068,2022-08-01 20:50:00,2022-08-01 22:20:00,1.4933333333333334,1.96,,,2.0,512
622786,647,2022-08-01 20:50:00,2022-08-01 20:50:00,0.0166666666666666,0.665,,,3.0,576
622787,647,2022-08-01 20:50:00,2022-08-01 20:50:00,0.0055555555555555,0.6675,,,3.0,576
622788,848,2022-08-01 20:50:00,2022-08-01 20:50:00,0.0083333333333333,0.3,100.0,100.0,1.0,576
622789,647,2022-08-01 21:00:00,2022-08-02 08:40:00,11.625,2.0,5.0,10.0,3.0,768
622790,749,2022-08-01 21:20:00,2022-08-02 03:10:00,5.7652777777777775,9.685,65.0,80.0,1.0,0
622791,72,2022-08-01 19:30:00,2022-08-02 03:10:00,7.7025,38.44,30.0,100.0,1.0,512
622792,75,2022-08-01 19:50:00,2022-08-02 06:30:00,10.650277777777776,33.48,45.0,100.0,1.0,0
622793,675,2022-08-01 21:50:00,2022-08-01 23:30:00,1.695,1.82,85.0,95.0,7.0,0
622794,83,2022-08-01 19:50:00,2022-08-01 23:30:00,3.710277777777778,24.18,60.0,100.0,1.0,0
622795,82,2022-08-01 19:50:00,2022-08-02 01:50:00,6.0119444444444445,26.7,50.0,100.0,1.0,512
622796,65,2022-08-01 20:00:00,2022-08-02 08:30:00,12.552222222222222,38.44,30.0,100.0,1.0,0
622797,69,2022-08-01 20:10:00,2022-08-02 00:40:00,4.598055555555556,22.94,65.0,100.0,1.0,512
622798,58,2022-08-01 20:10:00,2022-08-02 00:10:00,4.035277777777778,32.24,50.0,100.0,1.0,512
622799,61,2022-08-01 20:10:00,2022-08-02 01:20:00,5.220833333333333,38.44,25.0,100.0,1.0,0
622800,649,2022-08-01 22:10:00,2022-08-01 22:50:00,0.6183333333333333,1.96,,,2.0,512
622801,659,2022-08-01 20:10:00,2022-08-01 23:10:00,2.9,3.17,80.0,100.0,4.0,0
622802,826,2022-08-01 19:20:00,2022-08-01 19:20:00,0.0333333333333333,0.1645,,,1.0,576
622803,1023,2022-08-01 22:30:00,2022-08-01 23:50:00,1.363611111111111,14.09,50.0,70.0,1.0,0
622804,826,2022-08-01 19:30:00,2022-08-01 19:30:00,0.0191666666666666,0.1645,,,1.0,576
622805,1068,2022-08-01 22:30:00,2022-08-01 22:30:00,0.0063888888888888,0.1484,,,2.0,576
622806,860,2022-08-01 23:00:00,2022-08-02 00:20:00,1.367222222222222,8.001,85.0,100.0,1.0,0
622807,1068,2022-08-01 23:00:00,2022-08-01 23:10:00,0.0444444444444444,0.371,15.0,15.0,2.0,0
622808,1068,2022-08-01 23:10:00,2022-08-01 23:50:00,0.6425,1.96,,,2.0,0
622809,681,2022-08-01 22:10:00,2022-08-02 01:00:00,2.833333333333333,2.73,,,2.0,512
622810,675,2022-08-01 23:40:00,2022-08-02 12:20:00,12.660833333333333,0.63,95.0,100.0,7.0,768
