connector_id,evse_id,connector_number,connector_type,power_kw
15818,11304,2,J1772,<8 kW
15819,11305,2,J1772,<8 kW
16660,11306,1,J1772,<8 kW
16696,11348,1,J1772,<8 kW
16697,11349,1,J1772,<8 kW
15861,11350,2,J1772,<8 kW
15862,11351,2,J1772,<8 kW
15863,11352,2,J1772,<8 kW
16701,11353,1,J1772,<8 kW
15865,11354,2,J1772,<8 kW
15866,11355,2,J1772,<8 kW
15867,11356,2,J1772,<8 kW
15868,11357,2,J1772,<8 kW
15869,11358,2,J1772,<8 kW
15870,11359,2,J1772,<8 kW
16708,11360,1,J1772,<8 kW
16709,11361,1,J1772,<8 kW
15873,11362,2,J1772,<8 kW
16711,11363,1,J1772,<8 kW
16712,11364,1,J1772,<8 kW
15876,11365,2,J1772,<8 kW
16686,11335,1,J1772,<8 kW
16687,11336,1,J1772,<8 kW
15849,11337,2,J1772,<8 kW
15850,11338,2,J1772,<8 kW
15851,11339,2,J1772,<8 kW
15877,11366,2,J1772,<8 kW
16715,11367,1,J1772,<8 kW
15879,11368,2,J1772,<8 kW
15908,11405,2,J1772,<8 kW
15909,11406,2,J1772,<8 kW
15925,11430,2,J1772,<8 kW
15926,11431,2,J1772,<8 kW
16768,11436,1,J1772,<8 kW
15940,11445,1,J1772,<8 kW
16778,11447,1,J1772,<8 kW
16780,11449,1,J1772,<8 kW
15949,11454,2,J1772,<8 kW
16784,11455,1,J1772,<8 kW
15952,11457,2,J1772,<8 kW
19627,11468,2,J1772,<8 kW
16823,11496,1,J1772,<8 kW
16824,11497,1,J1772,<8 kW
16825,11498,1,J1772,<8 kW
15993,11499,2,J1772,<8 kW
16003,11512,2,J1772,<8 kW
16837,11513,1,J1772,<8 kW
16838,11514,1,J1772,<8 kW
16839,11515,1,J1772,<8 kW
16842,11518,1,J1772,<8 kW
16010,11519,2,J1772,<8 kW
16844,11520,1,J1772,<8 kW
16845,11521,1,J1772,<8 kW
16013,11522,2,J1772,<8 kW
16014,11523,2,J1772,<8 kW
16015,11524,2,J1772,<8 kW
16016,11525,2,J1772,<8 kW
16017,11526,2,J1772,<8 kW
16018,11527,2,J1772,<8 kW
16852,11528,1,J1772,<8 kW
16020,11529,2,J1772,<8 kW
16021,11530,2,J1772,<8 kW
16855,11531,1,J1772,<8 kW
16023,11532,2,J1772,<8 kW
16024,11533,2,J1772,<8 kW
16025,11534,2,J1772,<8 kW
16026,11535,2,J1772,<8 kW
16027,11536,2,J1772,<8 kW
16861,11537,1,J1772,<8 kW
16862,11538,1,J1772,<8 kW
16030,11539,2,J1772,<8 kW
16872,11562,1,J1772,<8 kW
16900,11597,1,J1772,<8 kW
16068,11598,2,J1772,<8 kW
16069,11599,2,J1772,<8 kW
16070,11600,2,J1772,<8 kW
16071,11601,2,J1772,<8 kW
16072,11602,2,J1772,<8 kW
16073,11603,2,J1772,<8 kW
16074,11605,2,J1772,<8 kW
16075,11606,2,J1772,<8 kW
16076,11607,2,J1772,<8 kW
16077,11608,2,J1772,<8 kW
16911,11609,1,J1772,<8 kW
16079,11610,2,J1772,<8 kW
16080,11611,2,J1772,<8 kW
16924,11623,1,J1772,<8 kW
16925,11624,1,J1772,<8 kW
16094,11626,2,J1772,<8 kW
16095,11627,2,J1772,<8 kW
16931,11631,1,J1772,<8 kW
16099,11635,2,J1772,<8 kW
16933,11636,1,J1772,<8 kW
16101,11637,2,J1772,<8 kW
16102,11638,2,J1772,<8 kW
16936,11639,1,J1772,<8 kW
16104,11641,2,J1772,<8 kW
16105,11643,2,J1772,<8 kW
16106,11644,2,J1772,<8 kW
16107,11645,2,J1772,<8 kW
16108,11646,2,J1772,<8 kW
16955,11660,1,J1772,<8 kW
16123,11661,2,J1772,<8 kW
16124,11662,2,J1772,<8 kW
